,sentence,term,polarity,from,to,ln
0,"$160 for 2 filets, 2 sides, an appetizer and drinks.","['filets', 'sides', 'appetizer', 'drinks']","['neutral', 'neutral', 'neutral', 'neutral']","['11', '21', '31', '45']","['17', '26', '40', '51']","[6, 5, 9, 6]"
1,$20 for all you can eat sushi cannot be beaten.,['sushi'],['neutral'],['24'],['29'],[5]
2,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,"['sushi', 'sushi places', 'quality']","['positive', 'positive', 'positive']","['23', '122', '44']","['28', '134', '51']","[5, 12, 7]"
3,"$6 and there is much tasty food, all of it fresh and continually refilled.",['food'],['positive'],['27'],['31'],[4]
4,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).","['glasses of champagne', 'bottle of wine', 'after dinner drinks']","['negative', 'negative', 'negative']","['12', '52', '73']","['32', '66', '92']","[20, 14, 19]"
5,(Always ask the bartender for the SEASONAL beer!!!,"['SEASONAL beer', 'bartender']","['positive', 'neutral']","['34', '16']","['47', '25']","[13, 9]"
6,(and I have eaten my share) Which impresses me for having such a large amount of people to serve.,['serve'],['positive'],['91'],['96'],[5]
7,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.","['food', 'busboy', 'waiter', 'cheese', 'pasta', 'water and wine glasses', 'wine', 'meal']","['neutral', 'negative', 'negative', 'negative', 'negative', 'negative', 'neutral', 'neutral']","['1', '25', '37', '55', '78', '89', '191', '138']","['5', '31', '43', '61', '83', '111', '195', '142']","[4, 6, 6, 6, 5, 22, 4, 4]"
8,"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.","['chocolate cake', 'vanilla gelato (with espresso)', 'dessert']","['conflict', 'conflict', 'conflict']","['23', '42', '6']","['37', '72', '13']","[14, 30, 7]"
9,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","['bread', 'pizza', 'margarite pizza with cold prosciutto and baby arugula on top', 'salad', ""Peter's Favourite pizza with prosciutto and baby arugula""]","['positive', 'positive', 'neutral', 'neutral', 'neutral']","['6', '74', '220', '289', '149']","['11', '79', '280', '294', '205']","[5, 5, 60, 5, 56]"
10,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,"['reservation', 'cocktails', 'surroundings']","['negative', 'positive', 'positive']","['19', '65', '89']","['30', '74', '101']","[11, 9, 12]"
11,A Thai restaurant out of rice during dinner?,"['rice', 'dinner']","['neutral', 'neutral']","['25', '37']","['29', '43']","[4, 6]"
12,A bit breezy up there on the mezzanine from the wind coming from the tracks.,['mezzanine'],['negative'],['29'],['38'],[9]
13,"A cheap eat for NYC, but not for dosa.","['dosa', 'eat']","['negative', 'positive']","['33', '8']","['37', '11']","[4, 3]"
14,"A cool bar with great food, and tons of excellent beer.","['bar', 'food', 'beer']","['positive', 'positive', 'positive']","['7', '22', '50']","['10', '26', '54']","[3, 4, 4]"
15,A cool place to hang with your friends for a couple of healthy drinks and desserts.,"['place', 'drinks', 'desserts']","['positive', 'positive', 'positive']","['7', '63', '74']","['12', '69', '82']","[5, 6, 8]"
16,"A few tips: skip the turnip cake, roast pork buns and egg custards.","['turnip cake', 'roast pork buns', 'egg custards']","['negative', 'negative', 'negative']","['21', '34', '54']","['32', '49', '66']","[11, 15, 12]"
